Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
130.0004,0.943105145,0.754030006,-1.144488256,95.31978568,1.380156008,2809.188486
130.5004,0.791333679,1.004571094,-1.185338876,103.7491127,1.570837098,2810.66083
131.0004,0.609510205,1.173791239,-1.215281189,112.1839991,1.431466754,2812.381654
131.5004,0.420699695,1.256672158,-1.173249667,120.622431,1.361563012,2813.130869
132.0004,0.194854607,1.340607258,-1.134999684,129.0630651,1.491249302,2814.160784
132.5004,-0.03390729,1.485402333,-1.092924381,137.5081098,1.513226702,2815.904806
133.0004,-0.218365118,1.49675614,-0.990507645,145.9575732,1.292643093,2816.728116
133.5004,-0.389785012,1.51589998,-0.853155456,154.4074851,1.300550102,2816.557997
134.0004,-0.56280242,1.615727764,-0.687047843,162.8571608,1.344434756,2816.627509
134.5004,-0.693838144,1.628747219,-0.514588411,171.3066051,1.162493945,2816.051966
135.0004,-0.761621833,1.543256648,-0.301571211,179.7525059,1.138536783,2814.5097
135.5004,-0.859952538,1.494014466,-0.062472137,188.1938576,1.205748103,2813.161729
136.0004,-0.967154967,1.392648098,0.130752701,196.6311324,1.066106738,2811.469968
136.5004,-1.004158571,1.191993604,0.312310552,205.0613223,0.917646329,2808.423092
137.0004,-1.051472614,0.968656519,0.488528666,213.4813729,1.005563174,2805.078144
137.5004,-1.11448568,0.691101915,0.66213134,221.8924675,1.065215523,2802.409533
138.0004,-1.117844305,0.414866043,0.773990097,230.2959498,1.033149029,2799.860624
138.5004,-1.102576978,0.109442806,0.848329829,238.6919362,1.132551943,2797.616709
139.0004,-1.091519458,-0.171620077,0.970913221,247.0824801,1.212389055,2796.202842
139.5004,-1.011636999,-0.472437148,1.03449571,255.4694627,1.199572032,2795.098462
140.0004,-0.893205123,-0.719805163,1.055267277,263.8534612,1.296639642,2794.384367
140.5004,-0.747710076,-0.954506446,1.094805939,272.2372839,1.523884831,2795.185265
141.0004,-0.562785697,-1.129497805,1.138160632,280.6251135,1.410883022,2796.526853
141.5004,-0.375517441,-1.205886017,1.103786277,289.0155304,1.326970618,2796.953799
142.0004,-0.155531741,-1.277352865,1.071037986,297.4069861,1.442949033,2797.530623
142.5004,0.074960623,-1.421920866,1.029753851,305.8014615,1.486164497,2798.854752
143.0004,0.259634701,-1.441762943,0.927806943,314.1995385,1.318328526,2799.602748
143.5004,0.428074263,-1.451649596,0.789105623,322.5983556,1.331340514,2799.62835
144.0004,0.599485804,-1.541963915,0.619630277,330.9975509,1.370399409,2799.896184
144.5004,0.728028285,-1.553656607,0.44015018,339.3971439,1.205150697,2799.575283
145.0004,0.790489656,-1.467294346,0.22655846,347.7941626,1.191364781,2798.414413
145.5004,0.883540237,-1.416163511,-0.011268851,356.187916,1.267562207,2797.539143
146.0004,0.985362439,-1.316287766,-0.200897612,4.579122027,1.133118767,2796.388461
146.5004,1.009069003,-1.092087338,-0.391594855,12.96507944,1.01912672,2794.070448
147.0004,1.04712711,-0.868149145,-0.56920281,21.34349971,1.125999678,2791.707432
147.5004,1.105744287,-0.585418066,-0.73638732,29.71605384,1.177201758,2790.074233
148.0004,1.093447755,-0.294581262,-0.844540254,38.08403219,1.145712231,2788.528116
148.5004,1.081402186,-0.008957288,-0.911142773,46.44747346,1.232144058,2787.232924
149.0004,1.057375997,0.301216575,-1.028227888,54.80822442,1.316607883,2786.732416
149.5004,0.967332925,0.601484877,-1.073075318,63.16833683,1.332464584,2786.700773
150.0004,0.846741945,0.845838778,-1.081895923,71.52899385,1.437168914,2787.233919
150.5004,0.696455005,1.082120671,-1.119395523,79.89319542,1.642817147,2789.222151
151.0004,0.503465079,1.241818562,-1.146459389,88.26470604,1.515901265,2791.58967
151.5004,0.314244323,1.307324262,-1.097653708,96.64188353,1.458917291,2793.107272
152.0004,0.09021878,1.378382589,-1.063767306,105.0237664,1.604053039,2795.041643
152.5004,-0.140873979,1.506173126,-1.017420428,113.4128603,1.612465125,2797.702919
153.0004,-0.326300522,1.500535623,-0.902822572,121.8090041,1.391994419,2799.384385
153.5004,-0.497985178,1.50258585,-0.760040935,130.2082195,1.408985204,2800.118791
154.0004,-0.674366212,1.585193075,-0.587614251,138.6100056,1.453493431,2801.141927
154.5004,-0.794635882,1.574902031,-0.406287399,147.0145695,1.300747072,2801.663424
155.0004,-0.853172057,1.476896069,-0.187463774,155.4191973,1.284615433,2801.396023
155.5004,-0.950219296,1.425323811,0.050337142,163.8231018,1.334717084,2801.284874
156.0004,-1.040253177,1.319081822,0.237598633,172.2263828,1.172685817,2800.650003
156.5004,-1.055625299,1.090701475,0.432812192,180.6257798,1.074245561,2798.793087
157.0004,-1.090725597,0.863758056,0.61227345,189.0193397,1.21722503,2797.134602
157.5004,-1.143303691,0.58302471,0.779120608,197.4093328,1.234934972,2796.221527
158.0004,-1.122681914,0.293367339,0.881217686,205.7964093,1.162201955,2795.048886
158.5004,-1.10634105,-0.004316569,0.95048611,214.1798208,1.277668657,2794.070898
159.0004,-1.080851515,-0.304871285,1.066498964,222.56178,1.365029492,2794.038155
