Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.25,2.059944769,0.058623448,-2.118568217,135.4424168,1.338148635,2798.594538
0.2505,1.836194731,0.414325465,-2.250520195,143.8384082,1.31995411,2798.70065
0.251,1.553503237,0.787678346,-2.341181584,152.2348008,1.371640225,2798.986834
0.2515,1.246302459,1.140603919,-2.386906379,160.6325215,1.355444075,2799.465331
0.252,0.917593138,1.449201474,-2.366794613,169.0310823,1.276090454,2799.433407
0.2525,0.557423606,1.730334387,-2.287757994,177.4287441,1.285323607,2799.023624
0.253,0.180524461,1.990514193,-2.171038654,185.8253509,1.300234795,2798.740722
0.2535,-0.176000137,2.172497631,-1.996497494,194.2211926,1.286297276,2798.462034
0.254,-0.537184692,2.286981213,-1.749796521,202.6161815,1.311335995,2798.241675
0.2545,-0.907432732,2.370459343,-1.463026611,211.0111892,1.388239781,2798.567839
0.255,-1.246642362,2.386592898,-1.139950536,219.4077477,1.340467087,2799.053202
0.2555,-1.542344854,2.347008568,-0.804663714,227.8052019,1.33067194,2799.232055
0.256,-1.820975278,2.257183534,-0.436208255,236.2030969,1.332416184,2799.367794
0.2565,-2.060180474,2.116402044,-0.056221569,244.6011434,1.281169396,2799.238245
0.257,-2.217728435,1.922980496,0.294747939,252.9980107,1.236602608,2798.592987
0.2575,-2.318796848,1.65705981,0.661737038,261.3927836,1.297279556,2798.030058
0.258,-2.388830095,1.364954896,1.023875198,269.7868709,1.363666556,2798.147017
0.2585,-2.382266971,1.034928416,1.347338555,278.1817356,1.309892116,2798.333817
0.259,-2.322234553,0.686991801,1.635242752,286.576829,1.35513277,2798.475819
0.2595,-2.220862087,0.311649529,1.909212558,294.9728319,1.354743122,2798.859214
0.26,-2.056331487,-0.063865111,2.120196598,303.3697656,1.3139607,2799.023857
0.2605,-1.842698017,-0.4153038,2.258001817,311.7664458,1.25612967,2798.659225
0.261,-1.561834319,-0.788174855,2.350009175,320.1616272,1.297048925,2798.200869
0.2615,-1.26029898,-1.138055573,2.398354553,328.5558684,1.297064028,2797.959983
0.262,-0.927211522,-1.443187583,2.370399105,336.9493266,1.28590315,2797.658635
0.2625,-0.563017095,-1.728589807,2.291606902,345.3421281,1.35468209,2797.665147
0.263,-0.183362232,-1.989472393,2.172834625,353.7357262,1.361872865,2798.08034
0.2635,0.179987359,-2.174249259,1.9942619,2.130480669,1.330032731,2798.366041
