Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.25,2.182566402,-0.006246021,-2.176320381,180.3745341,1.240996137,2837.721883
0.2505,1.957589975,0.392496126,-2.350086101,188.8868249,1.263116014,2837.177681
0.251,1.689791493,0.790235962,-2.480027455,197.3978763,1.292852095,2836.909613
0.2515,1.373614683,1.15284535,-2.526460033,205.9082652,1.259997733,2836.624217
0.252,1.027858475,1.476034671,-2.503893146,214.4175268,1.275441438,2836.244007
0.2525,0.653675386,1.805085414,-2.4587608,222.9260486,1.319822297,2836.183117
0.253,0.270425646,2.054043684,-2.32446933,231.4344624,1.24498568,2835.959131
0.2535,-0.123523929,2.247348224,-2.123824296,239.9413751,1.240332521,2835.306928
0.254,-0.521369169,2.399802686,-1.878433518,248.446428,1.268809991,2834.778757
0.2545,-0.913109065,2.50816268,-1.595053615,256.9502963,1.287019007,2834.499181
0.255,-1.265844365,2.533117507,-1.267273142,265.4533288,1.251386901,2834.125347
0.2555,-1.584158999,2.497085781,-0.912926782,273.9550193,1.281955487,2833.722427
0.256,-1.907699681,2.440949431,-0.53324975,282.4559731,1.309415064,2833.629222
0.2565,-2.131591383,2.269453846,-0.137862462,290.956568,1.239697904,2833.309382
0.257,-2.310755866,2.057268316,0.25348755,299.4554595,1.240899006,2832.619674
0.2575,-2.442716741,1.793111444,0.649605297,307.9524698,1.274662978,2832.113775
0.258,-2.525812747,1.492548988,1.033263759,316.4483398,1.278046406,2831.805479
0.2585,-2.531806563,1.156959056,1.374847507,324.9431259,1.24190699,2831.320347
0.259,-2.480684244,0.79182973,1.688854514,333.4363159,1.288598363,2830.889285
0.2595,-2.40609737,0.404243768,2.001853602,341.9287642,1.298606963,2830.760864
0.26,-2.21102862,0.007301046,2.203727574,350.4205922,1.234769992,2830.343501
0.2605,-1.984184361,-0.382800359,2.366984719,358.9105259,1.24333778,2829.626816
0.261,-1.702275383,-0.775666835,2.477942218,7.398578804,1.27753683,2829.135863
0.2615,-1.386656194,-1.14923916,2.535895354,15.88545342,1.264578061,2828.757254
0.262,-1.045852023,-1.480894956,2.526746979,24.3709044,1.237223126,2828.160712
0.2625,-0.669715024,-1.792316439,2.462031463,32.85457893,1.295200251,2827.72541
0.263,-0.26960157,-2.086619933,2.356221503,41.33753827,1.289929768,2827.571524
0.2635,0.122994607,-2.269555137,2.146560529,49.81966273,1.230899298,2827.072298
0.264,0.512850023,-2.413414056,1.900564033,58.29975107,1.249341015,2826.352077
0.2645,0.900599836,-2.503472613,1.602872778,66.77802891,1.278849948,2825.885573
0.265,1.26157109,-2.538835688,1.277264598,75.25506951,1.250559007,2825.424071
0.2655,1.584076866,-2.514756874,0.930680008,83.73037057,1.24147662,2824.7598
0.266,1.891982896,-2.433595278,0.541612382,92.2038904,1.300013827,2824.357616
0.2665,2.163293654,-2.296499438,0.133205784,100.6767287,1.281262956,2824.167844
0.267,2.327987263,-2.075541798,-0.252445465,109.1485136,1.228601769,2823.594227
0.2675,2.450627647,-1.807514604,-0.643113042,117.6181762,1.259961085,2822.902747
0.268,2.51886667,-1.495462567,-1.023404103,126.0861956,1.278686232,2822.4768
0.2685,2.533657679,-1.16434542,-1.369312259,134.5529106,1.236679171,2821.924501
0.269,2.491238852,-0.807152877,-1.684085975,143.0175985,1.252373278,2821.228109
0.2695,2.396539818,-0.40975675,-1.986783068,151.4806117,1.299232349,2820.864116
0.27,2.226415396,0.004160016,-2.230575411,159.9428903,1.272486561,2820.607227
0.2705,1.99629459,0.381482566,-2.377777156,168.4038812,1.229793439,2819.976543
0.271,1.708312485,0.772953037,-2.481265521,176.8627565,1.274468426,2819.352776
0.2715,1.382121265,1.142451668,-2.524572933,185.3202371,1.274858408,2818.968173
0.272,1.051014825,1.47314447,-2.524159295,193.7763028,1.225762152,2818.32082
0.2725,0.677746344,1.781257413,-2.459003757,202.2301097,1.265784077,2817.621189
0.273,0.272647271,2.073593172,-2.346240442,210.6823894,1.293320131,2817.281018
0.2735,-0.138545119,2.291232804,-2.152687685,219.1337934,1.265472519,2816.938442
0.274,-0.512323162,2.417608566,-1.905285404,227.5837236,1.238398763,2816.299383
0.2745,-0.90198367,2.504047525,-1.602063855,236.0317145,1.289385807,2815.785136
0.275,-1.257995541,2.521366673,-1.263371132,244.4785916,1.268054588,2815.428071
0.2755,-1.573474862,2.506071606,-0.932596744,252.9239139,1.220904054,2814.702002
0.276,-1.874822695,2.415768566,-0.540945871,261.3668611,1.279535051,2814.033418
0.2765,-2.150125351,2.281913156,-0.131787805,269.8084582,1.285461365,2813.708564
0.277,-2.345331271,2.076654091,0.26867718,278.249013,1.26114648,2813.284268
0.2775,-2.449068644,1.804372886,0.644695758,286.6879918,1.253844453,2812.688028
0.278,-2.517500275,1.487823874,1.029676401,295.1253421,1.299154491,2812.292758
0.2785,-2.509262537,1.141571863,1.367690674,303.5617646,1.257121929,2811.913737
0.279,-2.472861782,0.801898028,1.670963754,311.9964631,1.232149676,2811.173216
0.2795,-2.366171019,0.401861007,1.964310012,320.4289763,1.290002062,2810.605032
0.28,-2.211820605,-0.008971652,2.220792257,328.8603659,1.283334736,2810.309488
0.2805,-1.991651063,-0.395711905,2.387362968,337.290657,1.257318517,2809.837712
0.281,-1.697573438,-0.775775052,2.473348491,345.7193292,1.272084973,2809.302958
0.2815,-1.368691196,-1.152700027,2.521391223,354.1467157,1.302670974,2809.009136
0.282,-1.024284378,-1.47094889,2.495233267,2.57323717,1.24488666,2808.568471
0.2825,-0.661368261,-1.766019007,2.427387267,10.9978654,1.25449057,2807.866726
0.283,-0.258933936,-2.049697225,2.308631161,19.42072782,1.29965968,2807.455276
0.2835,0.148121953,-2.2822364,2.134114447,27.84272611,1.27875172,2807.172878
0.284,0.52382623,-2.416247312,1.892421082,36.26355736,1.261161022,2806.68275
0.2845,0.906180596,-2.489806781,1.583626185,44.68289851,1.293396895,2806.26853
0.285,1.268594029,-2.514487203,1.245893173,53.10137655,1.300220064,2806.062318
0.2855,1.569670796,-2.468489661,0.898818865,61.5189905,1.240983468,2805.574188
0.286,1.858887989,-2.376893649,0.51800566,69.93470098,1.278282317,2804.965361
0.2865,2.126626625,-2.242663734,0.116037109,78.34910847,1.302230025,2804.682332
0.287,2.334443663,-2.05410135,-0.280342313,86.76276928,1.273600734,2804.373611
0.2875,2.433544941,-1.780001777,-0.653543163,95.17520878,1.276181631,2803.923535
