Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.25,2.036318284,0.067903436,-2.10422172,195.4861274,1.30813936,2794.132557
0.2505,1.814265738,0.429337605,-2.243603343,203.86823,1.29208719,2793.906866
0.251,1.538060522,0.799080831,-2.337141354,212.2497834,1.34847149,2793.896012
0.2515,1.23131718,1.147877063,-2.379194243,220.6318604,1.339368056,2794.139493
0.252,0.915654428,1.442004114,-2.357658541,229.0143039,1.289218139,2794.06652
0.2525,0.569727532,1.720858653,-2.290586185,237.3962235,1.332844114,2793.95744
0.253,0.190433473,1.979168448,-2.169601922,245.7782921,1.334687027,2794.091927
0.2535,-0.189605488,2.156991579,-1.967386091,254.1605758,1.29551496,2794.027156
0.254,-0.552498718,2.276296649,-1.723797931,262.542322,1.310050563,2793.82933
0.2545,-0.92028726,2.360913893,-1.440626633,270.9238651,1.35409414,2793.944832
0.255,-1.249982093,2.376473517,-1.126491424,279.3060121,1.313742077,2794.08142
0.2555,-1.53503118,2.343675396,-0.808644216,287.6880558,1.298510208,2793.920219
0.256,-1.814602631,2.25921626,-0.444613629,296.0697093,1.346765245,2793.934905
0.2565,-2.044724698,2.105293036,-0.060568338,304.4517774,1.319305534,2794.061733
0.257,-2.203264137,1.894977638,0.3082865,312.8337773,1.290300352,2793.886208
0.2575,-2.308046975,1.631165776,0.676881199,321.2151714,1.333895879,2793.787512
0.258,-2.374572006,1.337172934,1.037399072,329.5968154,1.348643584,2794.001825
0.2585,-2.368204971,1.021927032,1.346277939,337.978985,1.296818066,2794.018762
0.259,-2.319536198,0.691285597,1.628250601,346.3607759,1.320383118,2793.883566
0.2595,-2.222511571,0.319022079,1.903489492,354.7425207,1.340624108,2793.982618
0.26,-2.035587687,-0.066707731,2.102295418,3.124581375,1.303398706,2793.991472
0.2605,-1.812932026,-0.428690183,2.241622209,11.50623004,1.29606184,2793.760868
0.261,-1.538696539,-0.80013318,2.338829719,19.88740743,1.352278751,2793.791112
0.2615,-1.232070394,-1.14655146,2.378621854,28.26917747,1.333310615,2794.022118
0.262,-0.916396332,-1.439847454,2.356243786,36.65121157,1.290802574,2793.924552
0.2625,-0.568881003,-1.722519768,2.291400772,45.03275091,1.338403235,2793.853115
0.263,-0.190269891,-1.978771825,2.169041716,53.41452678,1.327451153,2793.978202
0.2635,0.188309996,-2.155307465,1.966997468,61.79638955,1.295271327,2793.872717
0.264,0.553386435,-2.275661715,1.72227528,70.17768629,1.313340375,2793.690436
0.2645,0.921932377,-2.362689297,1.44075692,78.55885349,1.355301296,2793.829477
0.265,1.247787105,-2.374991586,1.12720448,86.94064996,1.310623933,2793.955323
0.2655,1.534216284,-2.342035737,0.807819453,95.32231405,1.304660358,2793.809793
0.266,1.817727049,-2.261898165,0.444171115,103.7037131,1.348926237,2793.868631
0.2665,2.043243702,-2.103199956,0.059956254,112.085581,1.314802823,2793.982679
0.267,2.201230711,-1.893536012,-0.307694699,120.4672942,1.290157525,2793.781812
0.2675,2.309089844,-1.630510797,-0.678579047,128.8483895,1.337011377,2793.698535
0.268,2.374880959,-1.337221192,-1.037659767,137.2297962,1.348041333,2793.925966
0.2685,2.366100322,-1.021802081,-1.344298241,145.6117208,1.294874776,2793.928912
0.269,2.31824564,-0.688997676,-1.629247964,153.9932535,1.326515409,2793.815761
0.2695,2.222639799,-0.317993609,-1.904646191,162.3748594,1.340455879,2793.946575
0.27,2.034506439,0.066258031,-2.10076447,170.7567942,1.300445046,2793.938571
0.2705,1.811136228,0.429245292,-2.24038152,179.1382617,1.297870075,2793.701532
0.271,1.539408481,0.802143377,-2.341551859,187.5192962,1.35528956,2793.757362
0.2715,1.232207823,1.145108279,-2.377316102,195.9009641,1.327155772,2793.971389
0.272,0.916694269,1.439389274,-2.356083543,204.2827892,1.292576716,2793.850024
0.2725,0.567459898,1.724914124,-2.292374021,212.6641589,1.345024653,2793.823268
0.273,0.18916346,1.979746358,-2.168909818,221.0459123,1.326735393,2793.980032
0.2735,-0.18778215,2.153357391,-1.965575241,229.4277609,1.293018662,2793.85869
0.274,-0.55515941,2.275961956,-1.720802546,237.8090199,1.318665281,2793.692804
0.2745,-0.923422488,2.364342913,-1.440920425,246.1902485,1.354770869,2793.857639
0.275,-1.246057829,2.373506022,-1.127448193,254.5720937,1.304962827,2793.950428
0.2755,-1.534361001,2.339823823,-0.805462822,262.9537237,1.312381036,2793.815858
0.276,-1.820866702,2.264931681,-0.444064979,271.3352318,1.350422572,2793.924243
0.2765,-2.041691513,2.1008804,-0.059188888,279.7172429,1.307287996,2794.006347
0.277,-2.200215441,1.893030716,0.307184725,288.0989557,1.291861758,2793.774314
0.2775,-2.310747911,1.630140394,0.680607517,296.4800842,1.344015594,2793.737692
0.278,-2.37545986,1.337939569,1.037520291,304.8616548,1.3426291,2793.973962
0.2785,-2.365329525,1.022574087,1.342755438,313.2436546,1.292784542,2793.936865
0.279,-2.317486256,0.687057016,1.63042924,321.6252367,1.335470631,2793.860521
0.2795,-2.223776456,0.317551332,1.906225124,330.0070513,1.336366191,2794.017755
0.28,-2.033721993,-0.065280829,2.099002821,338.3891347,1.296402866,2793.966476
0.2805,-1.810490594,-0.429997366,2.24048796,346.7706754,1.303950042,2793.740409
0.281,-1.540436855,-0.803869627,2.344306482,355.1518748,1.352093619,2793.811932
0.2815,-1.23308258,-1.144115107,2.377197687,3.533639868,1.321064928,2793.97638
0.282,-0.914241586,-1.438031197,2.352272783,11.91544026,1.297384678,2793.848035
0.2825,-0.567026947,-1.727613379,2.294640326,20.29688805,1.351094037,2793.879662
0.283,-0.189256629,-1.979520361,2.16877699,28.67884611,1.321102305,2794.039166
0.2835,0.186161143,-2.151616094,1.965454952,37.0608102,1.292640624,2793.885827
0.284,0.556432886,-2.277210419,1.720777533,45.4421787,1.324653146,2793.750116
0.2845,0.923923407,-2.366110949,1.442187542,53.82360416,1.347362918,2793.907662
0.285,1.243998814,-2.373118111,1.129119297,62.20550428,1.30196923,2793.944813
0.2855,1.534640063,-2.339263857,0.804623793,70.58711125,1.317254309,2793.820181
0.286,1.823692072,-2.267840838,0.444148767,78.96868305,1.350134366,2793.95323
0.2865,2.039923926,-2.099452416,0.05952849,87.35075996,1.303868073,2794.015614
0.287,2.198978107,-1.892397148,-0.306580959,95.73248073,1.294987716,2793.781999
0.2875,2.312322422,-1.630407368,-0.681915053,104.1136802,1.346694769,2793.776582
0.288,2.376155337,-1.33913041,-1.037024927,112.495363,1.336385702,2793.993966
0.2885,2.364446607,-1.023650353,-1.340796254,120.8773508,1.291823848,2793.918233
0.289,2.317793321,-0.685409304,-1.632384017,129.2588786,1.337736927,2793.848724
0.2895,2.224790041,-0.317805305,-1.906984736,137.6406754,1.335118467,2794.011388
0.29,2.033714951,0.063985198,-2.097700149,146.0227187,1.294993801,2793.945827
0.2905,1.809466597,0.430650257,-2.240116854,154.4042031,1.307851814,2793.733015
0.291,1.541540219,0.804958278,-2.346498498,162.785422,1.352063972,2793.825327
0.2915,1.234325103,1.142352145,-2.376677248,171.167195,1.315080293,2793.957591
0.292,0.911579625,1.436826301,-2.348405926,179.548888,1.299879111,2793.810342
0.2925,0.567180421,1.730620248,-2.297800669,187.9302575,1.352657582,2793.863541
0.293,0.189895661,1.978564553,-2.168460214,196.3121653,1.317640953,2794.012829
0.2935,-0.184951148,2.150053904,-1.965102756,204.6939982,1.289862769,2793.825841
0.294,-0.557481345,2.278429389,-1.720948044,213.07519,1.330905765,2793.708432
0.2945,-0.924013953,2.367560002,-1.443546049,221.4565534,1.346665044,2793.895654
0.295,-1.24188131,2.37215674,-1.13027543,229.8383831,1.296954826,2793.902145
0.2955,-1.535153992,2.337734939,-0.802580947,238.2198343,1.322156525,2793.776641
0.296,-1.82567309,2.270601435,-0.444928345,246.601316,1.347970718,2793.924191
0.2965,-2.038861244,2.099123365,-0.060262122,254.9832598,1.299637594,2793.952139
0.297,-2.197564836,1.891201976,0.30636286,263.3647558,1.297138166,2793.706981
