Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
130,1.212044427,0.562652905,-0.655815469,339.7182358,0.852086104,2750.873471
130.5,1.004350094,0.839929355,-0.594797351,347.9643435,0.935930996,2746.658887
131,0.782423293,1.095747598,-0.569038107,356.1993884,1.112248593,2743.643569
131.5,0.500105508,1.298699301,-0.552482864,4.427062543,1.121427421,2741.485854
132,0.264600336,1.456371161,-0.480958888,12.6488574,1.232196355,2739.881979
132.5,-0.018473004,1.595759855,-0.407880059,20.86797691,1.469463937,2739.900591
133,-0.338304246,1.698043663,-0.347466482,29.08986655,1.57468731,2741.524808
133.5,-0.583867561,1.734888375,-0.23614988,37.31740969,1.527984276,2743.432961
134,-0.813687526,1.744761498,-0.118159087,45.55122968,1.736464823,2746.106478
134.5,-1.069433894,1.750714082,-0.00971917,53.79552496,1.840869846,2750.2564
135,-1.227205891,1.683762125,0.097355489,62.05243729,1.661395504,2754.075539
135.5,-1.32706585,1.564167324,0.222742201,70.31936126,1.705736347,2757.27774
136,-1.479336696,1.436046731,0.347421721,78.59635435,1.71240696,2760.730558
136.5,-1.554124902,1.270749705,0.43388874,86.88266901,1.472637895,2763.107777
137,-1.560073007,1.042632665,0.502487884,95.17347218,1.383959458,2763.956165
137.5,-1.598334654,0.798004816,0.581271731,103.4659858,1.382733573,2764.384341
138,-1.599057746,0.544282503,0.628369005,111.7584894,1.108254031,2763.52371
138.5,-1.522648591,0.253209656,0.615904806,120.0454126,1.017348675,2760.94765
139,-1.449567386,-0.050607941,0.630161641,128.3238969,1.051770005,2758.093173
139.5,-1.340880524,-0.318399167,0.651959343,136.5935453,0.928863224,2754.812373
140,-1.166699613,-0.590285894,0.610691166,144.8518462,0.857156034,2750.60668
140.5,-0.977664943,-0.875577731,0.571559963,153.0975509,1.011154245,2746.766478
141,-0.728109761,-1.116498916,0.573086185,161.333476,1.080800142,2743.957168
141.5,-0.483445657,-1.30750263,0.511057758,169.5617595,1.112738956,2741.613446
142,-0.235373193,-1.481218224,0.443598974,177.7841927,1.30417452,2740.305775
142.5,0.074598179,-1.61517791,0.414082862,186.0052037,1.457525966,2740.607649
143,0.348580975,-1.691444754,0.314044579,194.2287335,1.494472921,2741.804357
143.5,0.598015962,-1.725393884,0.197501362,202.4568626,1.634080625,2743.83386
144,0.874091129,-1.767092363,0.101578222,210.693174,1.799550268,2747.300712
144.5,1.086482947,-1.74745287,-0.004635501,218.9409217,1.684816099,2751.022383
145,1.212822278,-1.659221738,-0.127157724,227.1991424,1.760667335,2754.57821
145.5,1.38016636,-1.56641126,-0.259160892,235.4691438,1.84266812,2758.886869
146,1.50769243,-1.438020384,-0.366695031,243.7517201,1.597562969,2762.451953
146.5,1.535003663,-1.24515262,-0.441666208,252.0421886,1.483493594,2764.350071
147,1.580481225,-1.028427299,-0.536850319,260.3376927,1.569299541,2766.120367
147.5,1.627480781,-0.800450565,-0.61017834,268.638197,1.329412349,2767.17692
148,1.581791348,-0.531774094,-0.627070491,276.9384597,1.07818108,2765.938978
148.5,1.525970201,-0.229268113,-0.630535391,285.2327918,1.109384541,2763.661955
149,1.456181819,0.056716575,-0.67254166,293.5202208,1.035617851,2761.174294
149.5,1.326831338,0.32414255,-0.644981617,301.7988609,0.902884279,2757.709934
150,1.174025648,0.60855453,-0.610001846,310.0659,0.915044851,2753.665168
150.5,0.973322161,0.886704123,-0.616379845,318.3211475,0.969941525,2749.916065
151,0.72947429,1.114330936,-0.572690696,326.5658752,1.020606118,2746.645746
151.5,0.507045753,1.325892938,-0.501704213,334.8020258,1.187233775,2744.379217
152,0.21462975,1.500817533,-0.474768678,343.0335228,1.315560713,2743.485052
152.5,-0.07400834,1.613869961,-0.41502257,351.2638266,1.377781193,2743.481366
153,-0.325871774,1.687547571,-0.301957077,359.4954444,1.536075723,2744.511067
